Catalog / Data Sheet,Part No.,Status,Brand,Core Shape,Size (IEC62317) A x B x C,Dimm. A,Dimm. B,Dimm. C,Feature,Ferrite Material,Material Name,AL Value / (nH / N²),Core Loss / (W / set),Air Gap / mm,Initial Permeability μi,Saturation Magnetic Flux Density Bs / mT,Relative Loss Factor (Max.) (tanδ / μi) 10⁻⁶,Curie Temperature Tc(Min.) / °C,material_name,core_shape,A_L_clean,A_L_H_per_turn2,B_s_clean,B_s_T,gap_clean,gap_m,mu_i,Sigma_l_over_A_mm_inv,le_m,Ae_m2,Ve_m3
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0500X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,145 Nom.,,0.5,2000,410 (100°C),,220,N27,E(EE),145,1.4500000000000001e-07,410,0.41000000000000003,0.5,0.0005,2000,,0.067,5.9999999999999995e-05,4.000000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G1000X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,90 Nom.,,1.0,2000,410 (100°C),,220,N27,E(EE),90,9.000000000000001e-08,410,0.41000000000000003,1.0,0.001,2000,,0.067,5.9999999999999995e-05,4.000000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_10_5_5_5.pdf,B66322G0000X127 (N27),Production,EPCOS,E(EE),E 10/5.5/5,10.2,5.5,4.8,For general purpose,Mn-Zn,N27,750 ±25%,"0.41 (200mT, 100kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),750,7.5e-07,410,0.41000000000000003,0.0,0.0,2000,,0.0263,1.09e-05,2.87e-07
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G0000X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,"3500 +30,-20%","3.3 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),3500,3.5000000000000004e-06,410,0.41000000000000003,0.0,0.0,2000,,0.097,0.000178,1.73e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G0100X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,1497 Nom.,,0.1,2000,410 (100°C),,220,N27,E(EE),1497,1.497e-06,410,0.41000000000000003,0.1,0.0001,2000,,0.097,0.000178,1.73e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G0250X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,759 Nom.,,0.25,2000,410 (100°C),,220,N27,E(EE),759,7.590000000000001e-07,410,0.41000000000000003,0.25,0.00025,2000,,0.097,0.000178,1.73e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G0500X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,454 Nom.,,0.5,2000,410 (100°C),,220,N27,E(EE),454,4.54e-07,410,0.41000000000000003,0.5,0.0005,2000,,0.097,0.000178,1.73e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G0640X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,378 Nom.,,0.64,2000,410 (100°C),,220,N27,E(EE),378,3.78e-07,410,0.41000000000000003,0.64,0.00064,2000,,0.097,0.000178,1.73e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G1000X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,272 Nom.,,1.0,2000,410 (100°C),,220,N27,E(EE),272,2.72e-07,410,0.41000000000000003,1.0,0.001,2000,,0.097,0.000178,1.73e-05
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G1500X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,201 Nom.,,1.5,2000,410 (100°C),,220,N27,E(EE),201,2.01e-07,410,0.41000000000000003,1.5,0.0015,2000,,0.097,0.000178,1.73e-05
