#
#"Frequency / Hz"	"Z4,4 [SPara1] [Magnitude / Ohm]"
#--------------------------------------------------
2117134.8933908	130.25967655409
2141875.8173036	128.59386870915
2166905.8646529	126.89221326739
2192228.4141470	125.29502017481
2217846.8839776	123.57003494666
2243764.7322819	122.02067445372
2269985.4576088	120.43345571981
2296512.5993913	118.84823193976
2323349.7384246	117.25268016449
2350500.4973491	115.75974022128
2377968.5411395	114.27255791676
2405757.5775995	112.74202873481
2433871.3578625	111.24395328143
2462313.6768977	109.74241616186
2491088.3740224	108.28314234742
2520199.3334204	106.88970518097
2549650.4846662	105.43249915097
2579445.8032556	104.04341817587
2609589.3111419	102.67868911248
2640085.0772795	101.31027631338
2670937.2181724	99.966908621580
2702149.8984304	98.602494097603
2733727.3313312	97.348193686471
2765673.7793888	96.000869571133
2797993.5549293	94.675348190665
2830691.0206727	93.484148962923
2863770.5903221	92.166105967464
2897236.7291590	90.928348748361
2931093.9546467	89.735183777065
2965346.8370395	88.493808925903
3000000.0000000	87.355365433138
3035058.1212231	86.195818520852
3070525.9330675	85.115070366850
3106408.2231943	84.042955933042
3142709.8352134	83.024412200648
3179435.6693374	81.985831322086
3216590.6830430	81.030206554141
3254179.8917402	79.981535923704
